name,population
Afghanistan,157
Albania,3
Algeria,73
Andorra,0
Angola,62
Antigua and Barbuda,0
Argentina,13
Armenia,12
Australia,75
Austria,138
Azerbaijan,23
Bahamas,0
Bahrain,0
Bangladesh,9
Barbados,0
Belarus,0
Belgium,50
Belize,0
Benin,127
Bhutan,2
Bolivia,173
Bosnia and Herzegovina,0
Botswana,0
Brazil,46
Brunei,0
Bulgaria,8
Burkina Faso,110
Burundi,5
Cabo Verde,0
Cambodia,5
Cameroon,270
Canada,405
Chad,3
Chile,24
China,934
Colombia,342
Comoros,0
Democratic Republic of Congo,560
Congo,598
Costa Rica,214
Cote d'Ivoire,0
Croatia,22
Cuba,10
Cyprus,4
Czech Republic,72
Denmark,3
Djibouti,0
Dominica,0
Dominican Republic,44
Ecuador,188
Egypt,32781
El Salvador,2
England,137
Equatorial Guinea,1
Eritrea,0
Estonia,0
Ethiopia,38
Fiji,48
Finland,7
France,2195
Gabon,70
Gambia,4
Georgia,7
Germany,970
Ghana,175
Greece,48
Grenada,0
Guatemala,107
Guinea,892
Guinea-Bissau,5
Guyana,25
Haiti,0
Honduras,5
Hungary,29
Iceland,0
India,1544
Indonesia,1396
Iran,6296
Iraq,495
Ireland,36
Israel,9
Italy,602
Jamaica,0
Japan,239
Jordan,30
Kazakhstan,0
Kenya,24
Kiribati,5
Kosovo,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,2
Lesotho,1
Liberia,65
Libya,0
Liechtenstein,0
Lithuania,0
Luxembourg,0
Macedonia,6
Madagascar,35
Malawi,2
Malaysia,53
Maldives,0
Mali,359
Malta,1
Marshall Islands,11
Mauritania,1
Mauritius,0
Mexico,1585
Micronesia,4
Moldova,0
Monaco,0
Mongolia,9
Montenegro,1
Morocco,172
Mozambique,10
Myanmar (Burma),0
Namibia,1
Nauru,18
Nepal,19
Netherlands,170
New Zealand,32
Nicaragua,5
Niger,20
Nigeria,652
Korea,38
Norway,40
Oman,0
Pakistan,38
Palau,4
Palestine,76
Panama,145
Papua New Guinea,867
Paraguay,11
Peru,3472
Philippines,115
Poland,4
Portugal,18
Qatar,0
Romania,2
Russian Federation,89
Rwanda,4
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,11
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,123
Senegal,73
Serbia,4
Seychelles,0
Sierra Leone,28
Singapore,0
Slovakia,26
Slovenia,2
Solomon Islands,69
Somalia,3
South Africa,49
South Sudan,0
Spain,466
Sri Lanka,4
Sudan,96
Suriname,8
Swaziland,3
Sweden,10
Switzerland,67
Syria,888
Taiwan,10
Tajikistan,2
Tanzania,35
Thailand,69
Timor-Leste,5
Togo,32
Tonga,9
Trinidad and Tobago,0
Tunisia,20
Turkey,943
Turkmenistan,36
Tuvalu,0
Uganda,13
Ukraine,4
United Arab Emirates (UAE),0
United Kingdom,1286
United States,9142
Uruguay,0
Uzbekistan,122
Vanuatu,65
Vatican City (Holy See),0
Venezuela,7
Vietnam,0
Yemen,19
Zambia,6
Zimbabwe,9
Greenland,4
Iceland,0
Uruguay,0
Central African Republic,5
